data,dia_semana,is_fim_de_semana,hora,id_cliente,perfil_cliente,bebida,valor_bebida,acompanhamento,valor_acompanhamento,canal,forma_pagamento,ticket_total
2026-01-10,Saturday,1,9,274,Trabalhador,Cappuccino Italiano,14.0,Quiche de Alho Poró,18.0,Balcão,Crédito,32.0
2026-01-10,Saturday,1,13,40,Fim de Semana,Mocha Belga,18.0,Cookie Artesanal,9.0,Delivery,Crédito,27.0
2026-01-10,Saturday,1,13,285,Ocasional,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Delivery,Pix,33.0
2026-01-10,Saturday,1,18,169,Fim de Semana,Latte Baunilha,16.0,Bolo Red Velvet,15.0,Delivery,Débito,31.0
2026-01-10,Saturday,1,16,147,Ocasional,Mocha Belga,18.0,Quiche de Alho Poró,18.0,Balcão,Pix,36.0
2026-01-10,Saturday,1,20,97,Ocasional,Cold Brew Especial,17.0,Sanduíche Caprese,19.0,Delivery,Crédito,36.0
2026-01-10,Saturday,1,14,196,Trabalhador,Mocha Belga,18.0,Torta de Limão Siciliano,16.0,Delivery,Pix,34.0
2026-01-10,Saturday,1,17,50,Fim de Semana,Chá Orgânico,12.0,Bolo Red Velvet,15.0,Balcão,Crédito,27.0
2026-01-10,Saturday,1,9,95,Ocasional,Espresso Premium,9.5,Bolo Red Velvet,15.0,Delivery,Débito,24.5
2026-01-10,Saturday,1,13,289,Ocasional,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Delivery,Débito,33.0
2026-01-10,Saturday,1,18,286,Ocasional,Latte Baunilha,16.0,Croissant Francês,13.0,Delivery,Crédito,29.0
2026-01-10,Saturday,1,7,110,Fim de Semana,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Balcão,Débito,33.0
2026-01-10,Saturday,1,18,24,Fim de Semana,Chá Orgânico,12.0,Torta de Limão Siciliano,16.0,Delivery,Crédito,28.0
2026-01-10,Saturday,1,17,93,Fim de Semana,Cappuccino Italiano,14.0,Sanduíche Caprese,19.0,Delivery,Pix,33.0
2026-01-10,Saturday,1,14,111,Ocasional,Cold Brew Especial,17.0,Torta de Limão Siciliano,16.0,Delivery,Débito,33.0
2026-01-10,Saturday,1,16,140,Ocasional,Espresso Premium,9.5,Torta de Limão Siciliano,16.0,Balcão,Crédito,25.5
2026-01-10,Saturday,1,7,80,Fim de Semana,Cold Brew Especial,17.0,Croissant Francês,13.0,Balcão,Débito,30.0
